txn_id,account_id,posted_date,amount,merchant,mcc,category_lvl1,category_lvl2
T09011,751619622667,2025-01-05,-37.25,Grocer,GRS,Food,Groceries
T57010,751619622667,2025-01-09,-32.36,Restaurant,DIN,Food,Dining
T87666,751619622667,2025-01-24,-33.06,Restaurant,DIN,Food,Dining
T48655,144622577625,2025-01-17,-19.16,Restaurant,DIN,Food,Dining
T61820,144622577625,2025-01-20,-58.39,Restaurant,DIN,Food,Dining
T39805,751619622667,2025-01-24,-17.2,Restaurant,DIN,Food,Dining
T22044,751619622667,2025-01-12,-107.79,Pepco,UTL,Utilities,Pepco
T89455,144622577625,2025-01-12,-60.74,Verizon,UTL,Utilities,Verizon
T78001,751619622667,2025-02-15,2596.1,Employer,PAY,Income,Salary
T76624,751619622667,2025-03-01,2279.71,Employer,PAY,Income,Salary
T00749,260518779946,2025-02-02,-1910.0,LandlordRent,HOU,Housing,Rent
T31994,144622577625,2025-02-07,-72.05,Grocer,GRS,Food,Groceries
T67599,751619622667,2025-02-24,-75.41,Grocer,GRS,Food,Groceries
T52112,751619622667,2025-02-20,-105.93,Grocer,GRS,Food,Groceries
T91677,260518779946,2025-02-08,-107.17,Grocer,GRS,Food,Groceries
T59300,144622577625,2025-02-27,-40.68,Grocer,GRS,Food,Groceries
T15873,144622577625,2025-02-20,-48.82,Grocer,GRS,Food,Groceries
T89143,144622577625,2025-02-27,-52.07,Restaurant,DIN,Food,Dining
T18018,260518779946,2025-02-16,-23.56,Restaurant,DIN,Food,Dining
T54693,260518779946,2025-02-17,-39.33,Restaurant,DIN,Food,Dining
T82726,751619622667,2025-02-16,-15.15,Restaurant,DIN,Food,Dining
T01713,751619622667,2025-02-18,-34.88,Restaurant,DIN,Food,Dining
T75424,751619622667,2025-02-05,-36.6,Restaurant,DIN,Food,Dining
T25289,751619622667,2025-02-13,-139.17,Pepco,UTL,Utilities,Pepco
T05183,751619622667,2025-02-10,-114.5,Verizon,UTL,Utilities,Verizon
T24994,144622577625,2025-03-15,2024.84,Employer,PAY,Income,Salary
T53648,260518779946,2025-03-29,2182.72,Employer,PAY,Income,Salary
T07606,260518779946,2025-03-02,-2754.0,LandlordRent,HOU,Housing,Rent
T39317,751619622667,2025-03-20,-104.12,Grocer,GRS,Food,Groceries
T59329,144622577625,2025-03-04,-42.67,Grocer,GRS,Food,Groceries
T19005,144622577625,2025-03-07,-64.4,Grocer,GRS,Food,Groceries
T90553,144622577625,2025-03-27,-46.23,Grocer,GRS,Food,Groceries
T96908,144622577625,2025-03-07,-50.12,Grocer,GRS,Food,Groceries
T96621,144622577625,2025-03-06,-118.35,Grocer,GRS,Food,Groceries
T63302,751619622667,2025-03-04,-90.03,Grocer,GRS,Food,Groceries
T74353,144622577625,2025-03-27,-29.99,Grocer,GRS,Food,Groceries
T60717,260518779946,2025-03-08,-63.51,Grocer,GRS,Food,Groceries
T02975,144622577625,2025-03-27,-17.34,Restaurant,DIN,Food,Dining
T55343,260518779946,2025-03-22,-36.04,Restaurant,DIN,Food,Dining
T16415,260518779946,2025-03-13,-26.64,Restaurant,DIN,Food,Dining
T17024,751619622667,2025-03-17,-37.82,Restaurant,DIN,Food,Dining
T03897,751619622667,2025-03-12,-74.14,Pepco,UTL,Utilities,Pepco
T53616,260518779946,2025-03-15,-86.12,Verizon,UTL,Utilities,Verizon
T10181,260518779946,2025-04-15,2602.92,Employer,PAY,Income,Salary
T83913,751619622667,2025-04-29,2179.31,Employer,PAY,Income,Salary
T95311,751619622667,2025-04-02,-2250.0,LandlordRent,HOU,Housing,Rent
T17144,260518779946,2025-04-16,-72.88,Grocer,GRS,Food,Groceries
T77222,751619622667,2025-04-12,-95.04,Grocer,GRS,Food,Groceries
T64251,260518779946,2025-04-12,-82.26,Grocer,GRS,Food,Groceries
T48568,144622577625,2025-04-15,-91.42,Grocer,GRS,Food,Groceries
T34429,144622577625,2025-04-26,-93.19,Grocer,GRS,Food,Groceries
T81928,144622577625,2025-04-21,-46.3,Grocer,GRS,Food,Groceries
T34016,144622577625,2025-04-26,-38.68,Grocer,GRS,Food,Groceries
T47639,144622577625,2025-04-12,-42.63,Restaurant,DIN,Food,Dining
T96770,260518779946,2025-04-15,-12.22,Restaurant,DIN,Food,Dining
T60610,144622577625,2025-04-25,-49.27,Restaurant,DIN,Food,Dining
T22268,751619622667,2025-04-23,-36.55,Restaurant,DIN,Food,Dining
T45084,260518779946,2025-04-09,-58.66,Pepco,UTL,Utilities,Pepco
T98138,144622577625,2025-04-17,-161.67,Verizon,UTL,Utilities,Verizon
T37753,260518779946,2025-05-15,2504.6,Employer,PAY,Income,Salary
T12264,260518779946,2025-05-29,2350.35,Employer,PAY,Income,Salary
T50480,144622577625,2025-05-02,-2646.0,LandlordRent,HOU,Housing,Rent
T82675,144622577625,2025-05-08,-83.76,Grocer,GRS,Food,Groceries
T31128,751619622667,2025-05-18,-38.57,Grocer,GRS,Food,Groceries
T85920,144622577625,2025-05-18,-113.25,Grocer,GRS,Food,Groceries
T53219,260518779946,2025-05-22,-109.56,Grocer,GRS,Food,Groceries
T37900,751619622667,2025-05-19,-98.53,Grocer,GRS,Food,Groceries
T24849,144622577625,2025-05-09,-25.23,Grocer,GRS,Food,Groceries
T70831,260518779946,2025-05-10,-58.69,Restaurant,DIN,Food,Dining
T20501,260518779946,2025-05-24,-47.61,Restaurant,DIN,Food,Dining
T10502,751619622667,2025-05-18,-21.34,Restaurant,DIN,Food,Dining
T94423,144622577625,2025-05-12,-50.86,Restaurant,DIN,Food,Dining
T73340,260518779946,2025-05-07,-20.89,Restaurant,DIN,Food,Dining
T51884,751619622667,2025-05-26,-36.68,Restaurant,DIN,Food,Dining
T27600,144622577625,2025-05-19,-92.14,Pepco,UTL,Utilities,Pepco
T90704,144622577625,2025-05-08,-91.93,Verizon,UTL,Utilities,Verizon
T90864,144622577625,2025-06-15,2751.35,Employer,PAY,Income,Salary
T36272,144622577625,2025-06-29,2557.09,Employer,PAY,Income,Salary
T40705,144622577625,2025-06-02,-2264.0,LandlordRent,HOU,Housing,Rent
T11163,144622577625,2025-06-05,-30.45,Grocer,GRS,Food,Groceries
T83906,260518779946,2025-06-07,-80.66,Grocer,GRS,Food,Groceries
T78588,260518779946,2025-06-24,-94.02,Grocer,GRS,Food,Groceries
T68099,144622577625,2025-06-10,-37.48,Grocer,GRS,Food,Groceries
T88337,260518779946,2025-06-11,-111.97,Grocer,GRS,Food,Groceries
T90479,144622577625,2025-06-14,-59.75,Restaurant,DIN,Food,Dining
T22902,144622577625,2025-06-08,-34.82,Restaurant,DIN,Food,Dining
T21751,751619622667,2025-06-21,-45.89,Restaurant,DIN,Food,Dining
T66934,260518779946,2025-06-21,-30.99,Restaurant,DIN,Food,Dining
T35111,260518779946,2025-06-15,-12.62,Restaurant,DIN,Food,Dining
T14705,260518779946,2025-06-08,-61.92,Pepco,UTL,Utilities,Pepco
T81791,751619622667,2025-06-09,-50.57,Verizon,UTL,Utilities,Verizon
T28461,260518779946,2025-07-15,2341.84,Employer,PAY,Income,Salary
T66023,260518779946,2025-07-29,2269.1,Employer,PAY,Income,Salary
T00033,260518779946,2025-07-02,-2362.0,LandlordRent,HOU,Housing,Rent
T93954,260518779946,2025-07-16,-104.63,Grocer,GRS,Food,Groceries
T05580,260518779946,2025-07-05,-64.96,Grocer,GRS,Food,Groceries
T23409,260518779946,2025-07-21,-64.48,Grocer,GRS,Food,Groceries
T47747,260518779946,2025-07-16,-29.15,Grocer,GRS,Food,Groceries
T44055,260518779946,2025-07-09,-107.97,Grocer,GRS,Food,Groceries
T68428,751619622667,2025-07-09,-63.88,Grocer,GRS,Food,Groceries
T40929,260518779946,2025-07-06,-50.26,Grocer,GRS,Food,Groceries
T59314,751619622667,2025-07-21,-98.32,Grocer,GRS,Food,Groceries
T59414,260518779946,2025-07-03,-112.12,Grocer,GRS,Food,Groceries
T57181,144622577625,2025-07-26,-51.31,Restaurant,DIN,Food,Dining
T81653,144622577625,2025-07-14,-36.16,Restaurant,DIN,Food,Dining
T94957,260518779946,2025-07-17,-45.02,Restaurant,DIN,Food,Dining
T48485,144622577625,2025-07-27,-31.25,Restaurant,DIN,Food,Dining
T79709,751619622667,2025-07-03,-37.91,Restaurant,DIN,Food,Dining
T38381,751619622667,2025-07-16,-22.44,Restaurant,DIN,Food,Dining
T08489,260518779946,2025-07-14,-53.09,Pepco,UTL,Utilities,Pepco
T02825,751619622667,2025-07-07,-101.63,Verizon,UTL,Utilities,Verizon
T73672,144622577625,2025-08-15,2657.31,Employer,PAY,Income,Salary
T49859,260518779946,2025-08-29,2816.39,Employer,PAY,Income,Salary
T25985,144622577625,2025-08-02,-1894.0,LandlordRent,HOU,Housing,Rent
T61140,260518779946,2025-08-24,-94.48,Grocer,GRS,Food,Groceries
T99801,260518779946,2025-08-20,-62.8,Grocer,GRS,Food,Groceries
T55221,144622577625,2025-08-22,-91.49,Grocer,GRS,Food,Groceries
T85022,260518779946,2025-08-25,-88.27,Grocer,GRS,Food,Groceries
T65144,751619622667,2025-08-19,-43.94,Grocer,GRS,Food,Groceries
T64527,751619622667,2025-08-27,-107.61,Grocer,GRS,Food,Groceries
T13510,144622577625,2025-08-23,-22.94,Grocer,GRS,Food,Groceries
T16183,260518779946,2025-08-10,-46.72,Restaurant,DIN,Food,Dining
T18451,751619622667,2025-08-12,-43.64,Restaurant,DIN,Food,Dining
T08033,751619622667,2025-08-03,-21.19,Restaurant,DIN,Food,Dining
T53484,260518779946,2025-08-04,-31.75,Restaurant,DIN,Food,Dining
T13304,751619622667,2025-08-20,-36.93,Restaurant,DIN,Food,Dining
T01812,751619622667,2025-08-06,-137.24,Pepco,UTL,Utilities,Pepco
T91573,144622577625,2025-08-06,-113.69,Verizon,UTL,Utilities,Verizon
T95654,751619622667,2025-09-15,2334.15,Employer,PAY,Income,Salary
T42940,144622577625,2025-09-29,2287.66,Employer,PAY,Income,Salary
T89815,260518779946,2025-09-02,-2445.0,LandlordRent,HOU,Housing,Rent
T77837,751619622667,2025-09-24,-58.21,Grocer,GRS,Food,Groceries
T41630,751619622667,2025-09-16,-103.11,Grocer,GRS,Food,Groceries
T14456,144622577625,2025-09-18,-36.54,Grocer,GRS,Food,Groceries
T53272,144622577625,2025-09-17,-60.62,Grocer,GRS,Food,Groceries
T58304,144622577625,2025-09-04,-78.52,Grocer,GRS,Food,Groceries
T12614,260518779946,2025-09-14,-29.8,Restaurant,DIN,Food,Dining
T05911,260518779946,2025-09-03,-40.53,Restaurant,DIN,Food,Dining
T50138,144622577625,2025-09-27,-24.83,Restaurant,DIN,Food,Dining
T27228,144622577625,2025-09-21,-48.78,Restaurant,DIN,Food,Dining
T46101,260518779946,2025-09-26,-21.78,Restaurant,DIN,Food,Dining
T43988,144622577625,2025-09-19,-158.13,Pepco,UTL,Utilities,Pepco
T88169,751619622667,2025-09-14,-155.8,Verizon,UTL,Utilities,Verizon
T01267,144622577625,2025-10-15,2450.13,Employer,PAY,Income,Salary
T29288,260518779946,2025-10-29,2529.09,Employer,PAY,Income,Salary
T20003,144622577625,2025-10-02,-2150.0,LandlordRent,HOU,Housing,Rent
T68453,260518779946,2025-10-11,-89.8,Grocer,GRS,Food,Groceries
T82288,260518779946,2025-10-11,-80.89,Grocer,GRS,Food,Groceries
T11635,144622577625,2025-10-03,-77.0,Grocer,GRS,Food,Groceries
T44856,751619622667,2025-10-17,-77.88,Grocer,GRS,Food,Groceries
T89246,144622577625,2025-10-13,-32.83,Grocer,GRS,Food,Groceries
T08785,751619622667,2025-10-15,-83.78,Grocer,GRS,Food,Groceries
T72052,144622577625,2025-10-25,-48.24,Restaurant,DIN,Food,Dining
T53916,144622577625,2025-10-14,-50.42,Restaurant,DIN,Food,Dining
T17596,260518779946,2025-10-06,-44.07,Restaurant,DIN,Food,Dining
T91529,260518779946,2025-10-26,-39.11,Restaurant,DIN,Food,Dining
T21464,260518779946,2025-10-18,-16.46,Restaurant,DIN,Food,Dining
T77304,260518779946,2025-10-18,-147.39,Pepco,UTL,Utilities,Pepco
T33569,260518779946,2025-10-09,-122.1,Verizon,UTL,Utilities,Verizon
T31790,308207133573,2024-11-15,2297.84,Employer,PAY,Income,Salary
T62260,524795742306,2024-11-29,2368.64,Employer,PAY,Income,Salary
T99366,121702858757,2024-11-02,-2412.0,LandlordRent,HOU,Housing,Rent
T62396,121702858757,2024-11-06,-108.08,Grocer,GRS,Food,Groceries
T66635,121702858757,2024-11-14,-57.81,Grocer,GRS,Food,Groceries
T57359,121702858757,2024-11-23,-38.13,Grocer,GRS,Food,Groceries
T80414,121702858757,2024-11-17,-72.94,Grocer,GRS,Food,Groceries
T73595,524795742306,2024-11-11,-117.54,Grocer,GRS,Food,Groceries
T00523,121702858757,2024-11-06,-94.4,Grocer,GRS,Food,Groceries
T33985,121702858757,2024-11-25,-85.14,Grocer,GRS,Food,Groceries
T70753,121702858757,2024-11-07,-91.92,Grocer,GRS,Food,Groceries
T42119,308207133573,2024-11-05,-20.94,Restaurant,DIN,Food,Dining
T66778,308207133573,2024-11-19,-18.63,Restaurant,DIN,Food,Dining
T02623,121702858757,2024-11-09,-38.98,Restaurant,DIN,Food,Dining
T99896,524795742306,2024-11-11,-39.45,Restaurant,DIN,Food,Dining
T02909,308207133573,2024-11-10,-48.21,Restaurant,DIN,Food,Dining
T58606,524795742306,2024-11-14,-53.21,Restaurant,DIN,Food,Dining
T60616,524795742306,2024-11-08,-110.09,Pepco,UTL,Utilities,Pepco
T89297,308207133573,2024-11-17,-162.42,Verizon,UTL,Utilities,Verizon
T24198,308207133573,2024-12-15,2854.53,Employer,PAY,Income,Salary
T22721,524795742306,2024-12-29,2398.64,Employer,PAY,Income,Salary
T11971,524795742306,2024-12-02,-2227.0,LandlordRent,HOU,Housing,Rent
T10631,524795742306,2024-12-13,-99.94,Grocer,GRS,Food,Groceries
T98848,308207133573,2024-12-22,-59.72,Grocer,GRS,Food,Groceries
T68800,121702858757,2024-12-08,-31.38,Grocer,GRS,Food,Groceries
T60801,308207133573,2024-12-24,-100.33,Grocer,GRS,Food,Groceries
T98135,308207133573,2024-12-11,-47.5,Grocer,GRS,Food,Groceries
T19000,121702858757,2024-12-27,-30.2,Grocer,GRS,Food,Groceries
T30554,308207133573,2024-12-06,-36.32,Grocer,GRS,Food,Groceries
T28301,524795742306,2024-12-03,-31.69,Grocer,GRS,Food,Groceries
T82689,121702858757,2024-12-18,-76.03,Grocer,GRS,Food,Groceries
T85921,524795742306,2024-12-10,-41.8,Restaurant,DIN,Food,Dining
T48764,308207133573,2024-12-17,-50.41,Restaurant,DIN,Food,Dining
T91323,524795742306,2024-12-03,-33.59,Restaurant,DIN,Food,Dining
T80831,121702858757,2024-12-03,-43.86,Restaurant,DIN,Food,Dining
T19420,308207133573,2024-12-14,-18.82,Restaurant,DIN,Food,Dining
T95162,524795742306,2024-12-10,-36.54,Restaurant,DIN,Food,Dining
T40817,308207133573,2024-12-17,-47.68,Restaurant,DIN,Food,Dining
T50954,121702858757,2024-12-15,-112.13,Pepco,UTL,Utilities,Pepco
T68689,308207133573,2024-12-17,-142.62,Verizon,UTL,Utilities,Verizon
T88030,524795742306,2025-01-15,2578.07,Employer,PAY,Income,Salary
T77077,121702858757,2025-01-29,2538.14,Employer,PAY,Income,Salary
T39249,524795742306,2025-01-02,-2122.0,LandlordRent,HOU,Housing,Rent
T12844,524795742306,2025-01-22,-92.14,Grocer,GRS,Food,Groceries
T64428,524795742306,2025-01-09,-73.09,Grocer,GRS,Food,Groceries
T09006,121702858757,2025-01-25,-52.39,Grocer,GRS,Food,Groceries
T18012,121702858757,2025-01-10,-76.48,Grocer,GRS,Food,Groceries
T58321,121702858757,2025-01-24,-22.03,Grocer,GRS,Food,Groceries
T78544,308207133573,2025-01-26,-23.25,Grocer,GRS,Food,Groceries
T20022,308207133573,2025-01-05,-51.7,Restaurant,DIN,Food,Dining
T18102,308207133573,2025-01-27,-36.48,Restaurant,DIN,Food,Dining
T95063,524795742306,2025-01-13,-18.98,Restaurant,DIN,Food,Dining
T98939,308207133573,2025-01-20,-43.26,Restaurant,DIN,Food,Dining
T77165,524795742306,2025-01-18,-21.07,Restaurant,DIN,Food,Dining
T46588,308207133573,2025-01-14,-25.24,Restaurant,DIN,Food,Dining
T10905,524795742306,2025-01-13,-73.69,Pepco,UTL,Utilities,Pepco
T21621,524795742306,2025-01-17,-144.04,Verizon,UTL,Utilities,Verizon
T85628,524795742306,2025-02-15,2474.5,Employer,PAY,Income,Salary
T00204,524795742306,2025-03-01,2538.47,Employer,PAY,Income,Salary
T28804,121702858757,2025-02-02,-2093.0,LandlordRent,HOU,Housing,Rent
T61963,308207133573,2025-02-09,-59.43,Grocer,GRS,Food,Groceries
T16195,308207133573,2025-02-17,-48.14,Grocer,GRS,Food,Groceries
T64385,308207133573,2025-02-06,-43.23,Grocer,GRS,Food,Groceries
T27220,308207133573,2025-02-05,-60.41,Grocer,GRS,Food,Groceries
T53487,121702858757,2025-02-21,-114.54,Grocer,GRS,Food,Groceries
T09043,121702858757,2025-02-20,-12.62,Restaurant,DIN,Food,Dining
T05786,121702858757,2025-02-27,-16.1,Restaurant,DIN,Food,Dining
T67257,121702858757,2025-02-03,-51.75,Restaurant,DIN,Food,Dining
T34979,524795742306,2025-02-08,-54.15,Restaurant,DIN,Food,Dining
T28602,121702858757,2025-02-14,-59.48,Restaurant,DIN,Food,Dining
T47911,308207133573,2025-02-10,-54.93,Pepco,UTL,Utilities,Pepco
T12950,524795742306,2025-02-12,-101.4,Verizon,UTL,Utilities,Verizon
T31491,121702858757,2025-03-15,2768.09,Employer,PAY,Income,Salary
T84402,121702858757,2025-03-29,3039.48,Employer,PAY,Income,Salary
T34193,308207133573,2025-03-02,-2043.0,LandlordRent,HOU,Housing,Rent
T49781,121702858757,2025-03-10,-68.63,Grocer,GRS,Food,Groceries
T32857,121702858757,2025-03-17,-101.79,Grocer,GRS,Food,Groceries
T32406,524795742306,2025-03-11,-66.42,Grocer,GRS,Food,Groceries
T04073,524795742306,2025-03-06,-35.23,Grocer,GRS,Food,Groceries
T36635,308207133573,2025-03-06,-107.91,Grocer,GRS,Food,Groceries
T95690,524795742306,2025-03-16,-69.02,Grocer,GRS,Food,Groceries
T76746,524795742306,2025-03-21,-25.82,Restaurant,DIN,Food,Dining
T94223,121702858757,2025-03-09,-43.42,Restaurant,DIN,Food,Dining
T16216,524795742306,2025-03-16,-15.17,Restaurant,DIN,Food,Dining
T64367,308207133573,2025-03-11,-34.5,Restaurant,DIN,Food,Dining
T01740,121702858757,2025-03-04,-30.68,Restaurant,DIN,Food,Dining
T86911,308207133573,2025-03-18,-26.5,Restaurant,DIN,Food,Dining
T94731,121702858757,2025-03-18,-19.11,Restaurant,DIN,Food,Dining
T80106,308207133573,2025-03-06,-163.79,Pepco,UTL,Utilities,Pepco
T62139,121702858757,2025-03-11,-84.67,Verizon,UTL,Utilities,Verizon
T25291,524795742306,2025-04-15,2306.32,Employer,PAY,Income,Salary
T62764,524795742306,2025-04-29,2793.43,Employer,PAY,Income,Salary
T43520,308207133573,2025-04-02,-2370.0,LandlordRent,HOU,Housing,Rent
T65940,121702858757,2025-04-07,-74.85,Grocer,GRS,Food,Groceries
T94603,524795742306,2025-04-17,-116.58,Grocer,GRS,Food,Groceries
T23481,308207133573,2025-04-21,-72.68,Grocer,GRS,Food,Groceries
T55360,524795742306,2025-04-18,-75.47,Grocer,GRS,Food,Groceries
T16727,308207133573,2025-04-13,-116.93,Grocer,GRS,Food,Groceries
T85802,524795742306,2025-04-26,-77.75,Grocer,GRS,Food,Groceries
T31688,121702858757,2025-04-08,-50.44,Grocer,GRS,Food,Groceries
T88351,524795742306,2025-04-09,-43.19,Restaurant,DIN,Food,Dining
T79813,121702858757,2025-04-21,-44.62,Restaurant,DIN,Food,Dining
T77048,308207133573,2025-04-21,-10.52,Restaurant,DIN,Food,Dining
T20792,121702858757,2025-04-19,-53.61,Restaurant,DIN,Food,Dining
T63671,524795742306,2025-04-26,-40.13,Restaurant,DIN,Food,Dining
T18833,121702858757,2025-04-20,-45.36,Restaurant,DIN,Food,Dining
T46607,308207133573,2025-04-26,-48.27,Restaurant,DIN,Food,Dining
T63627,308207133573,2025-04-14,-107.34,Pepco,UTL,Utilities,Pepco
T46303,308207133573,2025-04-16,-65.04,Verizon,UTL,Utilities,Verizon
T15492,308207133573,2025-05-15,2745.24,Employer,PAY,Income,Salary
T83162,308207133573,2025-05-29,2298.37,Employer,PAY,Income,Salary
T79990,121702858757,2025-05-02,-2628.0,LandlordRent,HOU,Housing,Rent
T54477,308207133573,2025-05-24,-45.19,Grocer,GRS,Food,Groceries
T15928,121702858757,2025-05-22,-48.22,Grocer,GRS,Food,Groceries
T17070,308207133573,2025-05-22,-71.32,Grocer,GRS,Food,Groceries
T34445,308207133573,2025-05-17,-33.46,Grocer,GRS,Food,Groceries
T40382,524795742306,2025-05-20,-109.11,Grocer,GRS,Food,Groceries
T94775,308207133573,2025-05-09,-90.37,Grocer,GRS,Food,Groceries
T29514,308207133573,2025-05-05,-12.62,Restaurant,DIN,Food,Dining
T70143,308207133573,2025-05-08,-36.72,Restaurant,DIN,Food,Dining
T07828,121702858757,2025-05-11,-23.53,Restaurant,DIN,Food,Dining
T28137,121702858757,2025-05-09,-56.99,Restaurant,DIN,Food,Dining
T66349,308207133573,2025-05-22,-25.76,Restaurant,DIN,Food,Dining
T85721,308207133573,2025-05-11,-30.5,Restaurant,DIN,Food,Dining
T65467,308207133573,2025-05-15,-140.04,Pepco,UTL,Utilities,Pepco
T45615,524795742306,2025-05-20,-179.09,Verizon,UTL,Utilities,Verizon
T10859,308207133573,2025-06-15,2373.01,Employer,PAY,Income,Salary
T79702,308207133573,2025-06-29,2348.98,Employer,PAY,Income,Salary
T21528,121702858757,2025-06-02,-1827.0,LandlordRent,HOU,Housing,Rent
T26460,308207133573,2025-06-19,-73.01,Grocer,GRS,Food,Groceries
T23937,524795742306,2025-06-03,-108.9,Grocer,GRS,Food,Groceries
T89872,524795742306,2025-06-21,-54.93,Grocer,GRS,Food,Groceries
T47897,121702858757,2025-06-27,-86.38,Grocer,GRS,Food,Groceries
T00713,121702858757,2025-06-05,-90.01,Grocer,GRS,Food,Groceries
T55546,308207133573,2025-06-25,-21.71,Grocer,GRS,Food,Groceries
T20937,308207133573,2025-06-04,-54.38,Grocer,GRS,Food,Groceries
T11567,121702858757,2025-06-17,-52.64,Grocer,GRS,Food,Groceries
T18397,524795742306,2025-06-25,-82.33,Grocer,GRS,Food,Groceries
T44518,308207133573,2025-06-27,-55.12,Restaurant,DIN,Food,Dining
T58745,524795742306,2025-06-25,-51.77,Restaurant,DIN,Food,Dining
T45092,121702858757,2025-06-06,-24.3,Restaurant,DIN,Food,Dining
T62686,308207133573,2025-06-11,-35.39,Restaurant,DIN,Food,Dining
T48116,121702858757,2025-06-20,-46.8,Restaurant,DIN,Food,Dining
T57653,308207133573,2025-06-13,-134.95,Pepco,UTL,Utilities,Pepco
T26450,308207133573,2025-06-13,-124.22,Verizon,UTL,Utilities,Verizon
T37118,121702858757,2025-07-15,2032.9,Employer,PAY,Income,Salary
T81294,524795742306,2025-07-29,2641.26,Employer,PAY,Income,Salary
T53747,121702858757,2025-07-02,-2587.0,LandlordRent,HOU,Housing,Rent
T71846,121702858757,2025-07-07,-29.39,Grocer,GRS,Food,Groceries
T09832,121702858757,2025-07-18,-102.57,Grocer,GRS,Food,Groceries
T89433,121702858757,2025-07-03,-69.22,Grocer,GRS,Food,Groceries
T79957,121702858757,2025-07-25,-27.57,Grocer,GRS,Food,Groceries
T22816,524795742306,2025-07-20,-62.2,Grocer,GRS,Food,Groceries
T32692,121702858757,2025-07-10,-78.25,Grocer,GRS,Food,Groceries
T11284,524795742306,2025-07-09,-44.77,Restaurant,DIN,Food,Dining
T52656,524795742306,2025-07-22,-35.38,Restaurant,DIN,Food,Dining
T49010,308207133573,2025-07-05,-20.08,Restaurant,DIN,Food,Dining
T94565,524795742306,2025-07-06,-19.26,Restaurant,DIN,Food,Dining
T87173,308207133573,2025-07-12,-48.22,Restaurant,DIN,Food,Dining
T81536,121702858757,2025-07-18,-80.25,Pepco,UTL,Utilities,Pepco
T40523,308207133573,2025-07-06,-108.53,Verizon,UTL,Utilities,Verizon
T35619,308207133573,2025-08-15,2183.95,Employer,PAY,Income,Salary
